word,meaning,level,frequency,category,example_sentence
abandon,捨てる・放棄する,basic,high,verb,"He had to abandon his car in the flood."
ability,能力,basic,high,noun,"She has the ability to solve complex problems."
absence,不在・欠席,basic,high,noun,"His absence from the meeting was noticed."
absolute,絶対の,basic,high,adjective,"There was absolute silence in the room."
absorb,吸収する,basic,high,verb,"Plants absorb water through their roots."
abstract,抽象的な,standard,medium,adjective,"The concept is too abstract for beginners."
academic,学術の,standard,medium,adjective,"He pursued an academic career."
accelerate,加速する,standard,medium,verb,"The car began to accelerate on the highway."
accept,受け入れる,basic,high,verb,"I accept your apology."
access,接近・アクセス,standard,medium,noun,"Students have access to the library."
accommodate,収容する・適応させる,standard,medium,verb,"The hotel can accommodate 200 guests."
accompany,同行する,standard,medium,verb,"Music should accompany the dance."
accomplish,達成する,standard,medium,verb,"She accomplished her goal of running a marathon."
accord,一致・協定,advanced,low,noun,"The two countries signed a peace accord."
account,説明・口座,basic,high,noun,"Can you give an account of what happened?"
accurate,正確な,standard,medium,adjective,"The weather forecast was accurate."
achieve,達成する,basic,high,verb,"He worked hard to achieve his dreams."
acknowledge,認める,standard,medium,verb,"She acknowledged her mistake."
acquire,獲得する,standard,medium,verb,"He acquired new skills through practice."
adapt,適応する,standard,medium,verb,"Animals adapt to their environment."
adequate,適切な,standard,medium,adjective,"The salary is adequate for living expenses."
adjacent,隣接した,advanced,low,adjective,"The hotel is adjacent to the airport."
adjust,調整する,standard,medium,verb,"Please adjust the temperature."
administration,管理・政権,standard,medium,noun,"The new administration promised change."
admit,認める・入学させる,basic,high,verb,"He admitted his guilt."
adopt,採用する・養子にする,standard,medium,verb,"They decided to adopt a child."
adult,大人,basic,high,noun,"Every adult should vote."
advance,前進・進歩,basic,high,verb,"Technology continues to advance."
advantage,利点,basic,high,noun,"What's the advantage of this method?"
adventure,冒険,basic,high,noun,"They went on an adventure in the mountains."
adverse,不利な,advanced,low,adjective,"The adverse weather delayed the flight."
advertise,宣伝する,standard,medium,verb,"Companies advertise their products on TV."
advocate,支持する・擁護者,advanced,low,verb,"She advocates for animal rights."
aesthetic,美的な,advanced,low,adjective,"The building has great aesthetic appeal."
affect,影響を与える,standard,medium,verb,"The rain will affect our picnic plans."
affiliate,関係会社・提携する,advanced,low,noun,"The company has affiliates worldwide."
affirm,断言する,advanced,low,verb,"The witness affirmed his testimony."
afford,余裕がある,basic,high,verb,"I can't afford a new car."
agenda,議題・予定,standard,medium,noun,"What's on today's agenda?"
agent,代理人・薬剤,standard,medium,noun,"The real estate agent showed us the house."
aggregate,総計・集合体,advanced,low,noun,"The aggregate score was impressive."
aggressive,攻撃的な,standard,medium,adjective,"His aggressive behavior was concerning."
agriculture,農業,standard,medium,noun,"Agriculture is important for the economy."
aid,援助,basic,high,noun,"The country sent aid to disaster victims."
aim,目標・狙う,basic,high,verb,"His aim is to become a doctor."
aircraft,航空機,standard,medium,noun,"The aircraft landed safely."
alarm,警報・心配させる,basic,high,noun,"The fire alarm went off."
album,アルバム,basic,high,noun,"She bought a new music album."
alert,警戒した・警告,standard,medium,adjective,"Stay alert while driving."
alien,外国人・宇宙人,standard,medium,noun,"The movie was about alien invasion."
align,整列させる,advanced,low,verb,"Please align the text to the center."
alike,似ている,basic,high,adjective,"The twins look alike."
alive,生きている,basic,high,adjective,"The plant is still alive."
alliance,同盟,advanced,low,noun,"The countries formed an alliance."
allocate,割り当てる,advanced,low,verb,"We need to allocate resources wisely."
allow,許可する,basic,high,verb,"Smoking is not allowed here."
ally,同盟国・味方,standard,medium,noun,"France is a strong ally of the US."
alone,一人で,basic,high,adverb,"She prefers to work alone."
alter,変更する,standard,medium,verb,"We need to alter our plans."
alternative,代替案,standard,medium,noun,"What's the alternative solution?"
although,〜だけれども,basic,high,conjunction,"Although it rained, we had fun."
altitude,高度,standard,medium,noun,"The plane flies at high altitude."
altogether,全部で,basic,high,adverb,"The meal cost $50 altogether."
aluminum,アルミニウム,standard,medium,noun,"The can is made of aluminum."
amateur,アマチュア,standard,medium,noun,"He's an amateur photographer."
amaze,驚かせる,basic,high,verb,"The magic trick amazed the children."
ambassador,大使,standard,medium,noun,"The ambassador met with officials."
ambition,野心・大志,standard,medium,noun,"Her ambition is to be a CEO."
ambulance,救急車,basic,high,noun,"Call an ambulance immediately!"
amend,修正する,advanced,low,verb,"They amended the constitution."
amid,〜の中で,advanced,low,preposition,"He remained calm amid the chaos."
amount,量・総額,basic,high,noun,"What amount do you need?"
ample,十分な,advanced,low,adjective,"There's ample time to finish."
amuse,楽しませる,standard,medium,verb,"The clown amused the children."
analyze,分析する,standard,medium,verb,"Scientists analyze the data."
ancestor,先祖,standard,medium,noun,"My ancestors came from Ireland."
anchor,錨・固定する,standard,medium,noun,"The ship dropped its anchor."
ancient,古代の,basic,high,adjective,"Ancient Rome was a great empire."
anger,怒り,basic,high,noun,"He couldn't control his anger."
angle,角度・角,basic,high,noun,"Measure the angle with a protractor."
angry,怒った,basic,high,adjective,"She was angry about the delay."
animal,動物,basic,high,noun,"Lions are wild animals."
anniversary,記念日,basic,high,noun,"Today is our wedding anniversary."
announce,発表する,basic,high,verb,"The company announced new products."
annoy,いらいらさせる,basic,high,verb,"The noise annoyed the neighbors."
annual,年次の,standard,medium,adjective,"We have an annual company meeting."
anonymous,匿名の,standard,medium,adjective,"The donation was anonymous."
another,もう一つの,basic,high,determiner,"Would you like another cup of coffee?"
answer,答え・答える,basic,high,noun,"What's the answer to this question?"
anticipate,予期する,standard,medium,verb,"We anticipate good results."
anxiety,不安,standard,medium,noun,"She felt anxiety before the exam."
anxious,心配な,standard,medium,adjective,"He was anxious about the interview."
apart,離れて,basic,high,adverb,"Keep the chemicals apart."
apartment,アパート,basic,high,noun,"She lives in a small apartment."
apologize,謝罪する,basic,high,verb,"I apologize for being late."
apparent,明らかな,standard,medium,adjective,"It was apparent that he was lying."
appeal,訴える・魅力,standard,medium,verb,"The lawyer will appeal the decision."
appear,現れる・見える,basic,high,verb,"Stars appear at night."
appetite,食欲,basic,high,noun,"Exercise increases your appetite."
applaud,拍手する,standard,medium,verb,"The audience applauded loudly."
apple,りんご,basic,high,noun,"An apple a day keeps the doctor away."
application,申請・応用,standard,medium,noun,"Submit your job application."
apply,申し込む・適用する,basic,high,verb,"I want to apply for this job."
appoint,任命する,standard,medium,verb,"They appointed her as manager."
appreciate,感謝する・価値を認める,standard,medium,verb,"I appreciate your help."
approach,接近する・方法,basic,high,verb,"The train is approaching the station."
appropriate,適切な,standard,medium,adjective,"Wear appropriate clothes for the occasion."
approve,承認する,standard,medium,verb,"The board approved the proposal."
approximate,おおよその,advanced,low,adjective,"The approximate cost is $1000."
architect,建築家,standard,medium,noun,"The architect designed the building."
architecture,建築,standard,medium,noun,"Gothic architecture is impressive."
area,地域・面積,basic,high,noun,"This area is known for its restaurants."
argue,議論する,basic,high,verb,"They argue about politics."
argument,議論・論証,basic,high,noun,"Their argument lasted for hours."
arise,生じる・起こる,standard,medium,verb,"Problems may arise during construction."
arm,腕・武器,basic,high,noun,"He broke his arm in the accident."
army,軍隊,basic,high,noun,"He served in the army for five years."
around,周りに・およそ,basic,high,preposition,"There are trees around the house."
arrange,手配する・整理する,basic,high,verb,"Please arrange the meeting."
arrest,逮捕する,basic,high,verb,"Police arrested the suspect."
arrival,到着,basic,high,noun,"The arrival time is 3 PM."
arrive,到着する,basic,high,verb,"What time does the train arrive?"
arrow,矢・矢印,basic,high,noun,"Follow the arrow to the exit."
art,芸術,basic,high,noun,"She studies art at university."
article,記事・物品,basic,high,noun,"I read an interesting article."
artificial,人工の,standard,medium,adjective,"Artificial intelligence is advancing."
artist,芸術家,basic,high,noun,"Picasso was a famous artist."
artistic,芸術的な,standard,medium,adjective,"She has artistic talent."
